,Schl,Opp,PTS,OPP,Year,Date,neutral
0,Stephen F. Austin,Texas-Tyler,63,47,2007,11/09/2007,False
1,Stephen F. Austin,Texas-Tyler,63,47,2007,11/09/2007,False
2,Stephen F. Austin,Texas-Tyler,63,47,2007,11/09/2007,False
3,The Citadel,Daniel Webster,131,79,2007,11/09/2007,True
4,The Citadel,Daniel Webster,131,79,2007,11/09/2007,True
5,UTSA,Hardin-Simmons,69,47,2007,11/09/2007,False
6,UTSA,Hardin-Simmons,69,47,2007,11/09/2007,False
7,Davidson,Emory,120,56,2007,11/09/2007,False
8,Davidson,Emory,120,56,2007,11/09/2007,False
9,Little Rock,Ozarks (AR),92,54,2007,11/09/2007,False
10,Little Rock,Ozarks (AR),92,54,2007,11/09/2007,False
11,UC Davis,La Verne,97,55,2007,11/11/2007,False
12,UC Davis,La Verne,97,55,2007,11/11/2007,False
13,UC Davis,La Verne,97,55,2007,11/11/2007,False
14,Oakland,Adrian,86,46,2007,11/11/2007,False
15,Oakland,Adrian,86,46,2007,11/11/2007,False
16,Sacramento State,Simpson (CA),104,71,2007,11/12/2007,False
17,Sacramento State,Simpson (CA),104,71,2007,11/12/2007,False
18,Sacramento State,Simpson (CA),104,71,2007,11/12/2007,False
19,Lamar,LeTourneau,103,64,2007,11/13/2007,False
20,Lamar,LeTourneau,103,64,2007,11/13/2007,False
21,Lamar,LeTourneau,103,64,2007,11/13/2007,False
22,Western Kentucky,Thomas More,56,38,2007,11/13/2007,True
23,Western Kentucky,Thomas More,56,38,2007,11/13/2007,True
24,Prairie View,Schreiner,88,59,2007,11/14/2007,False
25,Prairie View,Schreiner,88,59,2007,11/14/2007,False
26,Prairie View,Schreiner,88,59,2007,11/14/2007,False
27,New Hampshire,Suffolk,95,46,2007,11/14/2007,True
28,New Hampshire,Suffolk,95,46,2007,11/14/2007,True
29,Drake,Cornell (IA),92,55,2007,11/14/2007,True
30,Drake,Cornell (IA),92,55,2007,11/14/2007,True
31,Western Carolina,Methodist,87,76,2007,11/14/2007,False
32,Western Carolina,Methodist,87,76,2007,11/14/2007,False
33,Winona State,Bethany Lutheran,119,57,2007,11/15/2007,False
34,Winona State,Bethany Lutheran,119,57,2007,11/15/2007,False
35,Winona State,Bethany Lutheran,119,57,2007,11/15/2007,False
36,Morehouse,Fisk,95,59,2007,11/15/2007,False
37,Morehouse,Fisk,95,59,2007,11/15/2007,False
38,Redlands,Menlo,65,61,2007,11/16/2007,False
39,Redlands,Menlo,65,61,2007,11/16/2007,False
40,Redlands,Menlo,65,61,2007,11/16/2007,False
41,E Connecticut,Eastern Nazarene,79,60,2007,11/16/2007,True
42,E Connecticut,Eastern Nazarene,79,60,2007,11/16/2007,True
43,Keene State,Lesley,106,70,2007,11/16/2007,False
44,Keene State,Lesley,106,70,2007,11/16/2007,False
45,MA Dartmouth,Albertus Magnus,102,51,2007,11/16/2007,False
46,MA Dartmouth,Albertus Magnus,102,51,2007,11/16/2007,False
47,Keystone,Hilbert,70,61,2007,11/16/2007,False
48,Keystone,Hilbert,70,61,2007,11/16/2007,False
49,UHSP,Dubuque,54,75,2007,11/16/2007,False
50,UHSP,Dubuque,54,75,2007,11/16/2007,False
51,Loras,Clarke,71,84,2007,11/16/2007,False
52,Loras,Clarke,71,84,2007,11/16/2007,False
53,Wartburg,Aurora,63,54,2007,11/16/2007,False
54,Wartburg,Aurora,63,54,2007,11/16/2007,False
55,Drew,Washington & Lee,57,55,2007,11/16/2007,False
56,Drew,Washington & Lee,57,55,2007,11/16/2007,False
57,Juniata,Lancaster Bible,80,69,2007,11/16/2007,False
58,Juniata,Lancaster Bible,80,69,2007,11/16/2007,False
59,Stevens Institute,Skidmore,72,55,2007,11/16/2007,True
60,Stevens Institute,Skidmore,72,55,2007,11/16/2007,True
61,Dominican (IL),Lawrence,72,87,2007,11/16/2007,True
62,Dominican (IL),Lawrence,72,87,2007,11/16/2007,True
63,Marian WI,Cornell (IA),88,64,2007,11/16/2007,False
64,Marian WI,Cornell (IA),88,64,2007,11/16/2007,False
65,Wisconsin Lutheran,Coe,72,63,2007,11/16/2007,True
66,Wisconsin Lutheran,Coe,72,63,2007,11/16/2007,True
67,McNeese State,Louisiana College,65,45,2007,11/16/2007,True
68,McNeese State,Louisiana College,65,45,2007,11/16/2007,True
69,St. Mary's (TX),Schreiner,95,46,2007,11/16/2007,True
70,St. Mary's (TX),Schreiner,95,46,2007,11/16/2007,True
71,La Roche,Penn State-Beaver,76,69,2007,11/16/2007,False
72,La Roche,Penn State-Beaver,76,69,2007,11/16/2007,False
73,Mt. Aloysius,Salisbury,80,83,2007,11/16/2007,True
74,Mt. Aloysius,Salisbury,80,83,2007,11/16/2007,True
75,Wabash,Ky. Christian,96,88,2007,11/16/2007,True
76,Wabash,Ky. Christian,96,88,2007,11/16/2007,True
77,Wooster,Farmingdale State,106,81,2007,11/16/2007,True
78,Wooster,Farmingdale State,106,81,2007,11/16/2007,True
79,Dallas,Huntingdon,75,71,2007,11/16/2007,True
80,Dallas,Huntingdon,75,71,2007,11/16/2007,True
81,Rochester (NY),SUNY New Paltz,73,43,2007,11/16/2007,False
82,Rochester (NY),SUNY New Paltz,73,43,2007,11/16/2007,False
83,Babson,Connecticut College,50,52,2007,11/16/2007,True
84,Babson,Connecticut College,50,52,2007,11/16/2007,True
85,Wheaton (MA),Norwich,84,50,2007,11/16/2007,True
86,Wheaton (MA),Norwich,84,50,2007,11/16/2007,True
87,Mount Union,Hiram,95,84,2007,11/16/2007,False
88,Mount Union,Hiram,95,84,2007,11/16/2007,False
89,Texas-Permian Basin,Howard Payne,108,54,2007,11/16/2007,True
90,Texas-Permian Basin,Howard Payne,108,54,2007,11/16/2007,True
91,Lewis & Clark,Northwest_WA,75,67,2007,11/16/2007,True
92,Lewis & Clark,Northwest_WA,75,67,2007,11/16/2007,True
93,Holy Names,Linfield,79,81,2007,11/16/2007,True
94,Holy Names,Linfield,79,81,2007,11/16/2007,True
95,Evergreen State,Pacific (OR),87,49,2007,11/16/2007,True
96,Evergreen State,Pacific (OR),87,49,2007,11/16/2007,True
97,Puget Sound,Corban,124,95,2007,11/16/2007,False
98,Puget Sound,Corban,124,95,2007,11/16/2007,False
99,College of Idaho,Willamette,63,72,2007,11/16/2007,False
100,College of Idaho,Willamette,63,72,2007,11/16/2007,False
101,Rivier,Anna Maria,73,83,2007,11/16/2007,True
102,Rivier,Anna Maria,73,83,2007,11/16/2007,True
103,Hope International,Claremont M.S.,58,61,2007,11/16/2007,False
104,Hope International,Claremont M.S.,58,61,2007,11/16/2007,False
105,West Coast Baptist,Occidental,63,71,2007,11/16/2007,True
106,West Coast Baptist,Occidental,63,71,2007,11/16/2007,True
107,Pomona-Pitzer,La Sierra,78,64,2007,11/16/2007,True
108,Pomona-Pitzer,La Sierra,78,64,2007,11/16/2007,True
109,Maine-Farmington,Maine-Presque Isle,91,35,2007,11/16/2007,True
110,Maine-Farmington,Maine-Presque Isle,91,35,2007,11/16/2007,True
111,Thomas (ME),Fisher College,91,76,2007,11/16/2007,False
112,Thomas (ME),Fisher College,91,76,2007,11/16/2007,False
113,Franklin,Olivet,77,53,2007,11/16/2007,True
114,Franklin,Olivet,77,53,2007,11/16/2007,True
115,Manchester,Taylor-Ft. Wayne,79,69,2007,11/16/2007,True
116,Manchester,Taylor-Ft. Wayne,79,69,2007,11/16/2007,True
117,Webster,Transylvania,70,54,2007,11/16/2007,True
118,Webster,Transylvania,70,54,2007,11/16/2007,True
119,Mt. St. Joseph,St. Joseph's (NY),116,73,2007,11/16/2007,True
120,Mt. St. Joseph,St. Joseph's (NY),116,73,2007,11/16/2007,True
121,Daniel Webster,Green Mountain,83,93,2007,11/16/2007,True
122,Daniel Webster,Green Mountain,83,93,2007,11/16/2007,True
123,St. Olaf,Buena Vista,70,89,2007,11/16/2007,True
124,St. Olaf,Buena Vista,70,89,2007,11/16/2007,True
125,Roanoke,York (PA),73,50,2007,11/16/2007,False
126,Roanoke,York (PA),73,50,2007,11/16/2007,False
127,Virginia Wesleyan,Newport News-Apprentice,74,70,2007,11/16/2007,True
128,Virginia Wesleyan,Newport News-Apprentice,74,70,2007,11/16/2007,True
129,LaGrange,Emory & Henry,122,142,2007,11/16/2007,True
130,LaGrange,Emory & Henry,122,142,2007,11/16/2007,True
131,Clarkson,Albany Pharmacy,69,48,2007,11/16/2007,True
132,Clarkson,Albany Pharmacy,69,48,2007,11/16/2007,True
133,Hamilton,Medgar Evers,85,62,2007,11/16/2007,True
134,Hamilton,Medgar Evers,85,62,2007,11/16/2007,True
135,Wisconsin-Platteville,Beloit,75,23,2007,11/16/2007,True
136,Wisconsin-Platteville,Beloit,75,23,2007,11/16/2007,True
137,Wis.-Stout,Finlandia,93,89,2007,11/16/2007,True
138,Wis.-Stout,Finlandia,93,89,2007,11/16/2007,True
139,Wisconsin-Superior,St. Scholastica,78,83,2007,11/16/2007,False
140,Wisconsin-Superior,St. Scholastica,78,83,2007,11/16/2007,False
141,Wisconsin Whitewater,Eureka,79,45,2007,11/16/2007,True
142,Wisconsin Whitewater,Eureka,79,45,2007,11/16/2007,True
143,Vassar,Baruch College,82,74,2007,11/16/2007,True
144,Vassar,Baruch College,82,74,2007,11/16/2007,True
145,Christendom,Randolph,48,76,2007,11/16/2007,False
146,Christendom,Randolph,48,76,2007,11/16/2007,False
147,Ferrum,Elmira,89,49,2007,11/16/2007,True
148,Ferrum,Elmira,89,49,2007,11/16/2007,True
149,Dickinson College,Penn State-Harrisburg,80,70,2007,11/16/2007,True
150,Dickinson College,Penn State-Harrisburg,80,70,2007,11/16/2007,True
151,Franklin & Marshall,Bard,109,71,2007,11/16/2007,True
152,Franklin & Marshall,Bard,109,71,2007,11/16/2007,True
153,Gettysburg,Marietta,89,82,2007,11/16/2007,True
154,Gettysburg,Marietta,89,82,2007,11/16/2007,True
155,Johns Hopkins,Carnegie Mellon,81,73,2007,11/16/2007,True
156,Johns Hopkins,Carnegie Mellon,81,73,2007,11/16/2007,True
157,Muhlenberg,Cairn,107,37,2007,11/16/2007,False
158,Muhlenberg,Cairn,107,37,2007,11/16/2007,False
159,Southern Virginia,Lynchburg,101,66,2007,11/16/2007,True
160,Southern Virginia,Lynchburg,101,66,2007,11/16/2007,True
161,SUNY-Maritime,Maine Maritime,68,52,2007,11/16/2007,True
162,SUNY-Maritime,Maine Maritime,68,52,2007,11/16/2007,True
163,Mt. St. Mary (NY),Briar Cliff,75,69,2007,11/16/2007,True
164,Mt. St. Mary (NY),Briar Cliff,75,69,2007,11/16/2007,True
165,Swarthmore,Oberlin,81,62,2007,11/16/2007,True
166,Swarthmore,Oberlin,81,62,2007,11/16/2007,True
167,Buffalo State,D'Youville,101,70,2007,11/16/2007,False
168,Buffalo State,D'Youville,101,70,2007,11/16/2007,False
169,Wesleyan (CT),Springfield,47,53,2007,11/16/2007,True
170,Wesleyan (CT),Springfield,47,53,2007,11/16/2007,True
171,Albright,Pitt.-Greensburg,95,55,2007,11/16/2007,True
172,Albright,Pitt.-Greensburg,95,55,2007,11/16/2007,True
173,Elizabethtown,Penn State-Berks,88,54,2007,11/16/2007,True
174,Elizabethtown,Penn State-Berks,88,54,2007,11/16/2007,True
175,Lycoming,Penn State-Altoona,65,71,2007,11/16/2007,True
176,Lycoming,Penn State-Altoona,65,71,2007,11/16/2007,True
177,SUNY-Oswego,Hobart and William Smith,86,74,2007,11/16/2007,False
178,SUNY-Oswego,Hobart and William Smith,86,74,2007,11/16/2007,False
179,Geneva,Franciscan,106,77,2007,11/16/2007,False
180,Geneva,Franciscan,106,77,2007,11/16/2007,False
181,Saint Vincent (PA),Penn State-Fayette,105,61,2007,11/16/2007,True
182,Saint Vincent (PA),Penn State-Fayette,105,61,2007,11/16/2007,True
183,Thomas More,Anderson (IN),84,75,2007,11/16/2007,True
184,Thomas More,Anderson (IN),84,75,2007,11/16/2007,True
185,Westminster (PA),Bluffton,79,82,2007,11/16/2007,True
186,Westminster (PA),Bluffton,79,82,2007,11/16/2007,True
187,Colorado College,LeTourneau,67,90,2007,11/16/2007,False
188,Colorado College,LeTourneau,67,90,2007,11/16/2007,False
189,Hendrix,Rhema,90,77,2007,11/16/2007,False
190,Hendrix,Rhema,90,77,2007,11/16/2007,False
191,Sewanee,Texas-Tyler,75,70,2007,11/16/2007,True
192,Sewanee,Texas-Tyler,75,70,2007,11/16/2007,True
193,Moody_Bib,Crown (MN),74,80,2007,11/16/2007,False
194,Moody_Bib,Crown (MN),74,80,2007,11/16/2007,False
195,Minn.-Morris,Concordia-Moorhead,86,73,2007,11/16/2007,True
196,Minn.-Morris,Concordia-Moorhead,86,73,2007,11/16/2007,True
197,Northland Int'l,Northland,75,82,2007,11/16/2007,False
198,Northland Int'l,Northland,75,82,2007,11/16/2007,False
199,Northwestern MN,North Central (MN),95,49,2007,11/16/2007,False
200,Northwestern MN,North Central (MN),95,49,2007,11/16/2007,False
201,Adrian,MacMurray,82,68,2007,11/16/2007,True
202,Adrian,MacMurray,82,68,2007,11/16/2007,True
203,Albion,Rochester (MI),85,40,2007,11/16/2007,True
204,Albion,Rochester (MI),85,40,2007,11/16/2007,True
205,Calvin,Grace Christian (MI),92,65,2007,11/16/2007,False
206,Calvin,Grace Christian (MI),92,65,2007,11/16/2007,False
207,East Texas Baptist,Belhaven (MS),68,79,2007,11/16/2007,True
208,East Texas Baptist,Belhaven (MS),68,79,2007,11/16/2007,True
209,Mississippi College,Pensacola Christian,83,57,2007,11/16/2007,True
210,Mississippi College,Pensacola Christian,83,57,2007,11/16/2007,True
211,Texas Lutheran,Jarvis Christian,76,80,2007,11/16/2007,True
212,Texas Lutheran,Jarvis Christian,76,80,2007,11/16/2007,True
213,Wheaton (IL),Kalamazoo,98,59,2007,11/16/2007,True
214,Wheaton (IL),Kalamazoo,98,59,2007,11/16/2007,True
215,Manhattanville,John Jay,69,60,2007,11/16/2007,True
216,Manhattanville,John Jay,69,60,2007,11/16/2007,True
217,Gordon,Mount Saint Vincent,78,59,2007,11/16/2007,True
218,Gordon,Mount Saint Vincent,78,59,2007,11/16/2007,True
219,New England College,Fitchburg State,77,105,2007,11/16/2007,False
220,New England College,Fitchburg State,77,105,2007,11/16/2007,False
221,SUNY-Polytechnic,SUNY-Canton,108,93,2007,11/16/2007,False
222,SUNY-Polytechnic,SUNY-Canton,108,93,2007,11/16/2007,False
223,Nichols,WPI,80,101,2007,11/16/2007,True
224,Nichols,WPI,80,101,2007,11/16/2007,True
225,Roger Williams,Castleton,91,56,2007,11/16/2007,True
226,Roger Williams,Castleton,91,56,2007,11/16/2007,True
227,Amherst,Hunter College,103,79,2007,11/16/2007,True
228,Amherst,Hunter College,103,79,2007,11/16/2007,True
229,Bethel_MN,Martin Luther,94,82,2007,11/16/2007,False
230,Bethel_MN,Martin Luther,94,82,2007,11/16/2007,False
231,Northwestern State,Ozarks (AR),93,78,2007,11/16/2007,False
232,Northwestern State,Ozarks (AR),93,78,2007,11/16/2007,False
233,Susquehanna,Kean,87,80,2007,11/16/2007,True
234,Susquehanna,Kean,87,80,2007,11/16/2007,True
235,Alvernia,Scranton,73,80,2007,11/16/2007,True
236,Alvernia,Scranton,73,80,2007,11/16/2007,True
237,Case Western Reserve,Alma,88,69,2007,11/16/2007,True
238,Case Western Reserve,Alma,88,69,2007,11/16/2007,True
239,Misericordia,Penn State-Hazleton,73,50,2007,11/16/2007,True
240,Misericordia,Penn State-Hazleton,73,50,2007,11/16/2007,True
241,Trine,Illinois Wesleyan,82,89,2007,11/16/2007,True
242,Trine,Illinois Wesleyan,82,89,2007,11/16/2007,True
243,NJ City,Curry,70,87,2007,11/16/2007,True
244,NJ City,Curry,70,87,2007,11/16/2007,True
245,SUNY-Purchase,Southern Vermont,74,80,2007,11/16/2007,True
246,SUNY-Purchase,Southern Vermont,74,80,2007,11/16/2007,True
247,St. Lawrence,Bates,72,63,2007,11/16/2007,True
248,St. Lawrence,Bates,72,63,2007,11/16/2007,True
249,City Tech,Stockton,62,91,2007,11/16/2007,True
250,City Tech,Stockton,62,91,2007,11/16/2007,True
251,Malone,Grove City,85,61,2007,11/16/2007,True
252,Malone,Grove City,85,61,2007,11/16/2007,True
253,Suffolk,Clark (MA),71,85,2007,11/16/2007,True
254,Suffolk,Clark (MA),71,85,2007,11/16/2007,True
255,Texas-Dallas,Gwynedd-Mercy,76,89,2007,11/16/2007,True
256,Texas-Dallas,Gwynedd-Mercy,76,89,2007,11/16/2007,True
257,Hood,Staten Island,73,81,2007,11/16/2007,True
258,Hood,Staten Island,73,81,2007,11/16/2007,True
259,Delaware Valley,Catholic,60,64,2007,11/16/2007,True
260,Delaware Valley,Catholic,60,64,2007,11/16/2007,True
261,Fontbonne,William Penn,72,91,2007,11/16/2007,True
262,Fontbonne,William Penn,72,91,2007,11/16/2007,True
263,Illinois College,Capital,53,76,2007,11/16/2007,True
264,Illinois College,Capital,53,76,2007,11/16/2007,True
265,Lake Erie,Earlham,84,87,2007,11/16/2007,True
266,Lake Erie,Earlham,84,87,2007,11/16/2007,True
267,Morrisville State,Pittsburgh-Bradford,71,75,2007,11/16/2007,True
268,Morrisville State,Pittsburgh-Bradford,71,75,2007,11/16/2007,True
269,McMurry,George Fox,77,63,2007,11/16/2007,True
270,McMurry,George Fox,77,63,2007,11/16/2007,True
271,Westminster (MO),Rhodes,85,82,2007,11/16/2007,True
272,Westminster (MO),Rhodes,85,82,2007,11/16/2007,True
273,Bethany (WV),Allegheny,68,69,2007,11/16/2007,True
274,Bethany (WV),Allegheny,68,69,2007,11/16/2007,True
275,Wilmington (OH),Defiance,59,57,2007,11/16/2007,True
276,Wilmington (OH),Defiance,59,57,2007,11/16/2007,True
277,Clarks Summit,Marywood,85,75,2007,11/16/2007,True
278,Clarks Summit,Marywood,85,75,2007,11/16/2007,True
279,Becker,Worcester State,72,82,2007,11/16/2007,True
280,Becker,Worcester State,72,82,2007,11/16/2007,True
281,Rutgers-Camden,Methodist,50,64,2007,11/16/2007,True
282,Rutgers-Camden,Methodist,50,64,2007,11/16/2007,True
283,Trinity (CT),Southern Methodist,67,58,2007,11/16/2007,True
284,Trinity (CT),Southern Methodist,67,58,2007,11/16/2007,True
285,Central State (OH),Lincoln (PA),90,68,2007,11/16/2007,True
286,Central State (OH),Lincoln (PA),90,68,2007,11/16/2007,True
287,Wesley,Messiah,63,73,2007,11/16/2007,True
288,Wesley,Messiah,63,73,2007,11/16/2007,True
289,Washington (MO),Ohio Northern,74,58,2007,11/16/2007,True
290,Washington (MO),Ohio Northern,74,58,2007,11/16/2007,True
291,Lyndon State,Mount Ida College,60,84,2007,11/16/2007,True
292,Lyndon State,Mount Ida College,60,84,2007,11/16/2007,True
293,Merchant Marine,Middlebury,67,113,2007,11/16/2007,True
294,Merchant Marine,Middlebury,67,113,2007,11/16/2007,True
295,Penn State-Du Bois,Washington & Jefferson,56,70,2007,11/16/2007,True
296,Penn State-Du Bois,Washington & Jefferson,56,70,2007,11/16/2007,True
297,Austin College,Nebraska Wesleyan,60,83,2007,11/16/2007,True
298,Austin College,Nebraska Wesleyan,60,83,2007,11/16/2007,True
299,Lasell,Salve Regina,77,61,2007,11/16/2007,True
300,Lasell,Salve Regina,77,61,2007,11/16/2007,True
301,Rust,Centre (KY),68,67,2007,11/16/2007,True
302,Rust,Centre (KY),68,67,2007,11/16/2007,True
303,Penn State. - Brandywine,Neumann,72,79,2007,11/16/2007,True
304,Penn State. - Brandywine,Neumann,72,79,2007,11/16/2007,True
305,Williams,Ursinus,88,73,2007,11/16/2007,True
306,Williams,Ursinus,88,73,2007,11/16/2007,True
307,Western New England,Rhode Island College,56,65,2007,11/16/2007,True
308,Western New England,Rhode Island College,56,65,2007,11/16/2007,True
309,Centenary (NJ),Massachusetts Liberal Arts,59,89,2007,11/16/2007,True
310,Centenary (NJ),Massachusetts Liberal Arts,59,89,2007,11/16/2007,True
311,NVU-Johnson,Colby-Sawyer,74,86,2007,11/16/2007,True
312,NVU-Johnson,Colby-Sawyer,74,86,2007,11/16/2007,True
313,Eastern,Carthage,69,85,2007,11/16/2007,True
314,Eastern,Carthage,69,85,2007,11/16/2007,True
315,Lehman,Hartwick,54,64,2007,11/16/2007,True
316,Lehman,Hartwick,54,64,2007,11/16/2007,True
317,Rutgers-Newark,North Carolina Wesleyan,70,73,2007,11/16/2007,True
318,Rutgers-Newark,North Carolina Wesleyan,70,73,2007,11/16/2007,True
319,Husson,Wentworth,78,69,2007,11/16/2007,True
320,Husson,Wentworth,78,69,2007,11/16/2007,True
321,IIT,DePauw,66,89,2007,11/16/2007,True
322,IIT,DePauw,66,89,2007,11/16/2007,True
323,Plymouth State,Fairleigh Dickinson-Florham,88,74,2007,11/16/2007,True
324,Plymouth State,Fairleigh Dickinson-Florham,88,74,2007,11/16/2007,True
325,Paul Smith's,Utica,56,99,2007,11/16/2007,True
326,Paul Smith's,Utica,56,99,2007,11/16/2007,True
327,Thiel,Marymount (VA),78,82,2007,11/16/2007,True
328,Thiel,Marymount (VA),78,82,2007,11/16/2007,True
329,Edgewood,Maryville (MO),74,78,2007,11/16/2007,True
330,Edgewood,Maryville (MO),74,78,2007,11/16/2007,True
331,Pacific Lutheran,Augsburg,84,73,2007,11/16/2007,True
332,Pacific Lutheran,Augsburg,84,73,2007,11/16/2007,True
333,SUNY-Potsdam,Ithaca,93,82,2007,11/16/2007,True
334,SUNY-Potsdam,Ithaca,93,82,2007,11/16/2007,True
335,Wm Paterson,Emerson,71,74,2007,11/16/2007,True
336,Wm Paterson,Emerson,71,74,2007,11/16/2007,True
337,Rose-Hulman,Montclair State,68,56,2007,11/16/2007,True
338,Rose-Hulman,Montclair State,68,56,2007,11/16/2007,True
339,Randolph-Macon,John Carroll,66,68,2007,11/16/2007,True
340,Randolph-Macon,John Carroll,66,68,2007,11/16/2007,True
341,St. Norbert,Concordia (IL),71,54,2007,11/16/2007,True
342,St. Norbert,Concordia (IL),71,54,2007,11/16/2007,True
343,SUNY-Oneonta,Nazareth,69,79,2007,11/16/2007,True
344,SUNY-Oneonta,Nazareth,69,79,2007,11/16/2007,True
345,Shenandoah,Frostburg State,87,68,2007,11/16/2007,True
346,Shenandoah,Frostburg State,87,68,2007,11/16/2007,True
347,Penn College,Mary Washington,33,97,2007,11/16/2007,True
348,Penn College,Mary Washington,33,97,2007,11/16/2007,True
349,Hanover,Denison,63,51,2007,11/16/2007,True
350,Hanover,Denison,63,51,2007,11/16/2007,True
351,Trinity_Intl,Bethany Lutheran,93,100,2007,11/16/2007,True
352,Trinity_Intl,Bethany Lutheran,93,100,2007,11/16/2007,True
353,UW-River Falls,Macalester,75,69,2007,11/16/2007,True
354,UW-River Falls,Macalester,75,69,2007,11/16/2007,True
355,Southwestern (TX),Haverford,61,58,2007,11/16/2007,True
356,Southwestern (TX),Haverford,61,58,2007,11/16/2007,True
357,Warner Pacific,La Verne,85,69,2007,11/16/2007,True
358,Warner Pacific,La Verne,85,69,2007,11/16/2007,True
359,Cal State Maritime,Coast Guard,62,73,2007,11/16/2007,True
360,Cal State Maritime,Coast Guard,62,73,2007,11/16/2007,True
361,Unity,New England,35,102,2007,11/16/2007,True
362,Unity,New England,35,102,2007,11/16/2007,True
363,Wisconsin Eau Claire,Grinnell,132,137,2007,11/16/2007,True
364,Wisconsin Eau Claire,Grinnell,132,137,2007,11/16/2007,True
365,Westfield State,Alfred,74,52,2007,11/16/2007,True
366,Westfield State,Alfred,74,52,2007,11/16/2007,True
367,Wittenberg,Benedictine (IL),74,79,2007,11/16/2007,True
368,Wittenberg,Benedictine (IL),74,79,2007,11/16/2007,True
369,Milwaukee Engineering,North Park,69,63,2007,11/16/2007,True
370,Milwaukee Engineering,North Park,69,63,2007,11/16/2007,True
371,College of New Jersey,King's (PA),55,79,2007,11/16/2007,True
372,College of New Jersey,King's (PA),55,79,2007,11/16/2007,True
373,Mitchell,St. Mary's (MD),65,102,2007,11/16/2007,True
374,Mitchell,St. Mary's (MD),65,102,2007,11/16/2007,True
375,St. Thomas (MN),Otterbein,73,67,2007,11/16/2007,True
376,St. Thomas (MN),Otterbein,73,67,2007,11/16/2007,True
377,Gallaudet,DeSales,56,79,2007,11/17/2007,False
378,Gallaudet,DeSales,56,79,2007,11/17/2007,False
379,Gallaudet,DeSales,56,79,2007,11/17/2007,False
380,Gust Adolphus,Luther,58,60,2007,11/17/2007,False
381,Gust Adolphus,Luther,58,60,2007,11/17/2007,False
382,E Connecticut,St. Mary's (MD),88,94,2007,11/17/2007,True
383,E Connecticut,St. Mary's (MD),88,94,2007,11/17/2007,True
384,Keene State,Lasell,83,73,2007,11/17/2007,False
385,Keene State,Lasell,83,73,2007,11/17/2007,False
386,MA Dartmouth,Husson,77,59,2007,11/17/2007,False
387,MA Dartmouth,Husson,77,59,2007,11/17/2007,False
388,Wartburg,Grinnell,103,105,2007,11/17/2007,False
389,Wartburg,Grinnell,103,105,2007,11/17/2007,False
390,Drew,Williams,58,74,2007,11/17/2007,True
391,Drew,Williams,58,74,2007,11/17/2007,True
392,Goucher,Maryland Bible,78,73,2007,11/17/2007,True
393,Goucher,Maryland Bible,78,73,2007,11/17/2007,True
394,Juniata,Washington & Jefferson,74,48,2007,11/17/2007,False
395,Juniata,Washington & Jefferson,74,48,2007,11/17/2007,False
396,Stevens Institute,Middlebury,73,63,2007,11/17/2007,True
397,Stevens Institute,Middlebury,73,63,2007,11/17/2007,True
398,Concordia (IL),Lawrence,68,72,2007,11/17/2007,True
399,Concordia (IL),Lawrence,68,72,2007,11/17/2007,True
400,Lakeland,Wisconsin-La Crosse,68,70,2007,11/17/2007,False
401,Lakeland,Wisconsin-La Crosse,68,70,2007,11/17/2007,False
402,Marian WI,Coe,73,69,2007,11/17/2007,True
403,Marian WI,Coe,73,69,2007,11/17/2007,True
404,Rockford,Ashford,64,75,2007,11/17/2007,True
405,Rockford,Ashford,64,75,2007,11/17/2007,True
406,Wisconsin Lutheran,Cornell (IA),88,80,2007,11/17/2007,True
407,Wisconsin Lutheran,Cornell (IA),88,80,2007,11/17/2007,True
408,La Roche,Marymount (VA),66,70,2007,11/17/2007,False
409,La Roche,Marymount (VA),66,70,2007,11/17/2007,False
410,Medaille,Keuka,80,79,2007,11/17/2007,True
411,Medaille,Keuka,80,79,2007,11/17/2007,True
412,Mt. Aloysius,Bethany (WV),96,108,2007,11/17/2007,True
413,Mt. Aloysius,Bethany (WV),96,108,2007,11/17/2007,True
414,Penn State-Behrend,Bridgewater (VA),56,46,2007,11/17/2007,False
415,Penn State-Behrend,Bridgewater (VA),56,46,2007,11/17/2007,False
416,Wabash,Indiana Wesleyan,62,66,2007,11/17/2007,True
417,Wabash,Indiana Wesleyan,62,66,2007,11/17/2007,True
418,Wooster,St. Thomas (MN),85,79,2007,11/17/2007,False
419,Wooster,St. Thomas (MN),85,79,2007,11/17/2007,False
420,Chapman,Redlands,64,55,2007,11/17/2007,True
421,Chapman,Redlands,64,55,2007,11/17/2007,True
422,Dallas,Nebraska Wesleyan,59,65,2007,11/17/2007,True
423,Dallas,Nebraska Wesleyan,59,65,2007,11/17/2007,True
424,Brandeis,Kenyon,70,61,2007,11/17/2007,True
425,Brandeis,Kenyon,70,61,2007,11/17/2007,True
426,Chicago,Lake Forest,70,59,2007,11/17/2007,True
427,Chicago,Lake Forest,70,59,2007,11/17/2007,True
428,New York University,Framingham State,61,53,2007,11/17/2007,True
429,New York University,Framingham State,61,53,2007,11/17/2007,True
430,Rochester (NY),SUNY-Oneonta,72,53,2007,11/17/2007,True
431,Rochester (NY),SUNY-Oneonta,72,53,2007,11/17/2007,True
432,Babson,Bates,69,60,2007,11/17/2007,True
433,Babson,Bates,69,60,2007,11/17/2007,True
434,Wheaton (MA),Plymouth State,95,88,2007,11/17/2007,True
