,Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,WC,LC,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes,Year
7,8,Massachusetts,Atlantic 10 Conference,1,0,1.0,,,,,,92.0,71.0,,0.0,-21.0,,,,,,,2023
8,9,Rhode Island,Atlantic 10 Conference,1,0,1.0,,,,,,81.0,70.0,,0.0,-11.0,,,,,,,2023
9,10,Richmond,Atlantic 10 Conference,1,0,1.0,,,,,,93.0,75.0,,0.0,-18.0,,,,,,,2023
10,11,Saint Joseph's,Atlantic 10 Conference,1,0,1.0,,,,,,81.0,60.0,,0.0,-21.0,,,,,,,2023
11,12,Saint Louis,Atlantic 10 Conference,1,0,1.0,,,,,,75.0,63.0,,0.0,-12.0,,,,,,,2023
12,13,St. Bonaventure,Atlantic 10 Conference,1,0,1.0,,,,,,73.0,69.0,,0.0,-4.0,,,,,,,2023
13,14,Virginia Commonwealth,Atlantic 10 Conference,0,1,0.0,,,,,,65.0,76.0,,0.0,11.0,,,,,,,2023
14,15,Loyola (IL),Atlantic 10 Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Austin Peay,Atlantic Sun Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,Eastern Kentucky,Atlantic Sun Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Jacksonville,Atlantic Sun Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Kennesaw State,Atlantic Sun Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,North Alabama,Atlantic Sun Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
5,6,North Florida,Atlantic Sun Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
6,7,Stetson,Atlantic Sun Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
7,8,Bellarmine,Atlantic Sun Conference,0,1,0.0,,,,,,57.0,91.0,,0.0,34.0,,,,,,,2023
8,9,Central Arkansas,Atlantic Sun Conference,0,1,0.0,,,,,,53.0,70.0,,0.0,17.0,,,,,,,2023
9,10,Florida Gulf Coast,Atlantic Sun Conference,0,1,0.0,,,,,,63.0,69.0,,0.0,6.0,,,,,,,2023
10,11,Lipscomb,Atlantic Sun Conference,0,1,0.0,,,,,,59.0,76.0,,0.0,17.0,,,,,,,2023
11,12,Queens (NC),Atlantic Sun Conference,0,1,0.0,,,,,,73.0,89.0,,0.0,16.0,,,,,,,2023
0,1,Baylor,Big 12 Conference,1,0,1.0,,,,,,88.0,82.0,,0.0,-6.0,,20.0,20.0,,,,2023
1,2,Brigham Young,Big 12 Conference,1,0,1.0,,,,,,110.0,63.0,,0.0,-47.0,,,,,,,2023
2,3,Central Florida,Big 12 Conference,1,0,1.0,,,,,,85.0,62.0,,0.0,-23.0,,,,,,,2023
3,4,Cincinnati,Big 12 Conference,1,0,1.0,,,,,,69.0,58.0,,0.0,-11.0,,,,,,,2023
4,5,Houston,Big 12 Conference,1,0,1.0,,,,,,84.0,31.0,,0.0,-53.0,,7.0,7.0,,,,2023
5,6,Iowa State,Big 12 Conference,1,0,1.0,,,,,,85.0,44.0,,0.0,-41.0,,,,,,,2023
6,7,Kansas,Big 12 Conference,1,0,1.0,,,,,,99.0,56.0,,0.0,-43.0,,1.0,1.0,,,,2023
7,8,Oklahoma,Big 12 Conference,1,0,1.0,,,,,,89.0,59.0,,0.0,-30.0,,,,,,,2023
8,9,TCU,Big 12 Conference,1,0,1.0,,,,,,108.0,75.0,,0.0,-33.0,,,,,,,2023
9,10,Texas,Big 12 Conference,1,0,1.0,,,,,,88.0,56.0,,0.0,-32.0,,18.0,18.0,,,,2023
10,11,West Virginia,Big 12 Conference,1,0,1.0,,,,,,67.0,59.0,,0.0,-8.0,,,,,,,2023
11,12,Kansas State,Big 12 Conference,0,1,0.0,,,,,,69.0,82.0,,0.0,13.0,,,,,,,2023
12,13,Oklahoma State,Big 12 Conference,0,1,0.0,,,,,,59.0,64.0,,0.0,5.0,,,,,,,2023
13,14,Texas Tech,Big 12 Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Butler,Big East Conference,1,0,1.0,,,,,,94.0,55.0,,0.0,-39.0,,,,,,,2023
1,2,Connecticut,Big East Conference,1,0,1.0,,,,,,95.0,52.0,,0.0,-43.0,,6.0,6.0,,,,2023
2,3,Creighton,Big East Conference,1,0,1.0,,,,,,105.0,54.0,,0.0,-51.0,,8.0,8.0,,,,2023
3,4,Georgetown,Big East Conference,1,0,1.0,,,,,,94.0,57.0,,0.0,-37.0,,,,,,,2023
4,5,Marquette,Big East Conference,1,0,1.0,,,,,,92.0,70.0,,0.0,-22.0,,5.0,5.0,,,,2023
