Team,2022tan,2021tan,2021veg,2022veg,2020tan,2020veg,teamz2022,2022veg,Over/Under,teams2019,2019veg,2018veg
Minnesota,6.83,7.09,7,7.5,8.14,8,Michigan State,7.5,-135/115,Arizona,6.5,6
Mississippi State,4.82,6.7,5.5,6.5,4.37,7,Middle Tennessee,5.5,-105/-115,Temple,6.5,5.5
Missouri,3.93,6.91,7,5.5,5.62,7,Minnesota,7.5,-125/105,Eastern Michigan,6.5,7.5
Navy,4.14,2.25,3.5,4.5,7.02,7.5,Mississippi State,6.5,-125/105,Nevada,6.5,
NC State,9.64,6.4,6,8.5,6.64,5.5,Missouri,5.5,115/-135,Air Force,6.5,7
Nebraska,9.52,6.64,6,7.5,6.54,8,Navy,4.5,105/-125,Stanford,6.5,6.5
Nevada,4.75,8.25,7.5,5,6.28,5.5,Nebraska,7.5,-110/-110,Tennessee,6.5,5.5
New Mexico,0.94,5.17,4,2.5,4.85,3.5,Nevada,5,145/-170,Troy,6.5,
New Mexico State,2.43,nan,2,3,4.08,4,New Mexico,2.5,100/-120,Georgia Southern,6.5,
North Carolina,6.96,10.49,10,7.5,7.15,8.5,New Mexico State,3,100/-120,BYU,6.5,
North Texas,6.5,3.7,4,6.5,3.84,5.5,North Carolina,7.5,115/-135,Kentucky,6.5,
Northern Illinois,7.93,2.72,4,6.5,4.52,5,North Carolina State,8.5,-150/130,Wake Forest,6,
Northwestern,4.53,4.65,6.5,4,7.67,5.5,North Texas,6.5,100/-120,Boston College,6,6
Notre Dame,8.6,6.38,9,8.5,8.04,10,Northern Illinois,6.5,-150/130,Northwestern,6,8.5
Ohio,4.38,6.76,6.5,5.5,8.72,7.5,Northwestern,4,100/-120,Texas Tech,6,
Ohio State,11.87,10.77,11,10.5,11.59,11,Notre Dame,8.5,-150/130,SMU,6,10.5
Oklahoma,8.99,10.12,11,9.5,9.92,10.5,Ohio,5.5,-110/-110,Pitt,6,10
Old Dominion,3.63,4.01,3.5,4.5,4.68,3,Ohio State,10.5,-250/200,Indiana,6,
Ole Miss,7.51,7.35,7,7.5,7.61,5.5,Oklahoma,9.5,100/-120,Buffalo,6,
Oregon,9.41,8,9,8.5,7.99,9.5,Oklahoma State,8.5,105/-125,Miami Ohio,6,
Oregon State,5.47,5.85,4.5,6.5,3.43,4.5,Old Dominion,4.5,100/-120,Cal,6,
